Entity,Code,Year,Nitrous Oxide Emissions,Methane Emissions,CO2 Emissions
World,OWID_WRL,2002,2404541200,8317607000,30824399000
World,OWID_WRL,2003,2419334400,8547519500,32640156000
World,OWID_WRL,2004,2501009000,8734270000,33099530000
World,OWID_WRL,2005,2523355600,8891205000,33533485000
World,OWID_WRL,2006,2563218000,9067994000,34837730000
World,OWID_WRL,2007,2637330000,9150783000,34993504000
World,OWID_WRL,2008,2609540900,9260415000,35709334000
World,OWID_WRL,2009,2580072200,9209168000,35702890000
World,OWID_WRL,2010,2639586300,9393331000,37390650000
World,OWID_WRL,2011,2738929000,9666748000,38535650000
World,OWID_WRL,2012,2766991600,9766811000,39171520000
World,OWID_WRL,2013,2754491400,9740897000,38964760000
World,OWID_WRL,2014,2787979500,9827734000,39547945000
World,OWID_WRL,2015,2794370000,9844865000,39919920000
World,OWID_WRL,2016,2811907000,9870126000,38868345000
World,OWID_WRL,2017,2869500400,10030719000,39349215000
World,OWID_WRL,2018,2865543700,10178349000,39776120000
World,OWID_WRL,2019,2852601300,10244368000,40358085000
World,OWID_WRL,2020,2901733400,10127275000,38429233000
World,OWID_WRL,2021,2943274200,10287874000,40215392000
World,OWID_WRL,2022,2969827800,10485365000,40395970000
